device_type, software_version, UID,Test, batch, weekday, timestamp_iso8601, decimal_hour, bandwidth_FWHM_nm, field_of_view_FWHM_DEG, irradiance_410nm_purple_wavelength_nm, irradiance_410nm_purple_wavelength_uncertainty_nm, irradiance_410nm_purple_irradiance_uW_per_cm_squared, irradiance_410nm_purple_irradiance_uncertainty_uW_per_cm_squared, irradiance_435nm_blue_wavelength_nm, irradiance_435nm_blue_wavelength_uncertainty_nm, irradiance_435nm_blue_irradiance_uW_per_cm_squared, irradiance_435nm_blue_irradiance_uncertainty_uW_per_cm_squared, irradiance_460nm_dodgerblue_wavelength_nm, irradiance_460nm_dodgerblue_wavelength_uncertainty_nm, irradiance_460nm_dodgerblue_irradiance_uW_per_cm_squared, irradiance_460nm_dodgerblue_irradiance_uncertainty_uW_per_cm_squared, irradiance_485nm_cyan_wavelength_nm, irradiance_485nm_cyan_wavelength_uncertainty_nm, irradiance_485nm_cyan_irradiance_uW_per_cm_squared, irradiance_485nm_cyan_irradiance_uncertainty_uW_per_cm_squared, irradiance_510nm_green_wavelength_nm, irradiance_510nm_green_wavelength_uncertainty_nm, irradiance_510nm_green_irradiance_uW_per_cm_squared, irradiance_510nm_green_irradiance_uncertainty_uW_per_cm_squared, irradiance_535nm_aquamarine_wavelength_nm, irradiance_535nm_aquamarine_wavelength_uncertainty_nm, irradiance_535nm_aquamarine_irradiance_uW_per_cm_squared, irradiance_535nm_aquamarine_irradiance_uncertainty_uW_per_cm_squared, irradiance_560nm_limegreen_wavelength_nm, irradiance_560nm_limegreen_wavelength_uncertainty_nm, irradiance_560nm_limegreen_irradiance_uW_per_cm_squared, irradiance_560nm_limegreen_irradiance_uncertainty_uW_per_cm_squared, irradiance_585nm_yellow_wavelength_nm, irradiance_585nm_yellow_wavelength_uncertainty_nm, irradiance_585nm_yellow_irradiance_uW_per_cm_squared, irradiance_585nm_yellow_irradiance_uncertainty_uW_per_cm_squared, irradiance_610nm_orange_wavelength_nm, irradiance_610nm_orange_wavelength_uncertainty_nm, irradiance_610nm_orange_irradiance_uW_per_cm_squared, irradiance_610nm_orange_irradiance_uncertainty_uW_per_cm_squared, irradiance_645nm_red_wavelength_nm, irradiance_645nm_red_wavelength_uncertainty_nm, irradiance_645nm_red_irradiance_uW_per_cm_squared, irradiance_645nm_red_irradiance_uncertainty_uW_per_cm_squared, irradiance_680nm_black_wavelength_nm, irradiance_680nm_black_wavelength_uncertainty_nm, irradiance_680nm_black_irradiance_uW_per_cm_squared, irradiance_680nm_black_irradiance_uncertainty_uW_per_cm_squared, irradiance_705nm_brown_wavelength_nm, irradiance_705nm_brown_wavelength_uncertainty_nm, irradiance_705nm_brown_irradiance_uW_per_cm_squared, irradiance_705nm_brown_irradiance_uncertainty_uW_per_cm_squared, irradiance_730nm_gray_wavelength_nm, irradiance_730nm_gray_wavelength_uncertainty_nm, irradiance_730nm_gray_irradiance_uW_per_cm_squared, irradiance_730nm_gray_irradiance_uncertainty_uW_per_cm_squared, irradiance_760nm_silver_wavelength_nm, irradiance_760nm_silver_wavelength_uncertainty_nm, irradiance_760nm_silver_irradiance_uW_per_cm_squared, irradiance_760nm_silver_irradiance_uncertainty_uW_per_cm_squared, irradiance_810nm_lightgray_wavelength_nm, irradiance_810nm_lightgray_wavelength_uncertainty_nm, irradiance_810nm_lightgray_irradiance_uW_per_cm_squared, irradiance_810nm_lightgray_irradiance_uncertainty_uW_per_cm_squared, irradiance_860nm_linen_wavelength_nm, irradiance_860nm_linen_wavelength_uncertainty_nm, irradiance_860nm_linen_irradiance_uW_per_cm_squared, irradiance_860nm_linen_irradiance_uncertainty_uW_per_cm_squared, irradiance_900nm_wheat_wavelength_nm, irradiance_900nm_wheat_wavelength_uncertainty_nm, irradiance_900nm_wheat_irradiance_uW_per_cm_squared, irradiance_900nm_wheat_irradiance_uncertainty_uW_per_cm_squared, irradiance_940nm_gold_wavelength_nm, irradiance_940nm_gold_wavelength_uncertainty_nm, irradiance_940nm_gold_irradiance_uW_per_cm_squared, irradiance_940nm_gold_irradiance_uncertainty_uW_per_cm_squared, battery_voltage, battery_percent
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192947Z,19.4964,20,20,410,10,11023.2,1322.79,435,10,18364.1,2203.69,460,10,21736.5,2608.38,485,10,20771.9,2492.63,510,10,19194.6,2303.35,535,10,17231.5,2067.77,560,10,11408.6,1369.03,585,10,11618.4,1394.21,610,10,28304,3396.48,645,10,9668.81,1160.26,680,10,24642.4,2957.09,705,10,8495.6,1019.47,730,10,21078.1,2529.38,760,10,19296.1,2315.53,810,10,22544.5,2705.34,860,10,22076.6,2649.19,900,10,5217.29,626.075,940,10,3449.99,413.999,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192949Z,19.4969,20,20,410,10,11152.6,1338.31,435,10,18518,2222.17,460,10,21925.9,2631.11,485,10,21171,2540.52,510,10,19488.1,2338.57,535,10,17341,2080.92,560,10,11925.1,1431.01,585,10,11985.7,1438.29,610,10,28982,3477.84,645,10,9856.45,1182.77,680,10,24878.8,2985.45,705,10,8660.29,1039.23,730,10,21344.2,2561.3,760,10,19561.6,2347.4,810,10,23011.1,2761.33,860,10,22449.1,2693.89,900,10,5314.53,637.744,940,10,3517.93,422.152,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192950Z,19.4972,20,20,410,10,11366.1,1363.94,435,10,19101.1,2292.13,460,10,22910,2749.2,485,10,21599.8,2591.98,510,10,20161.4,2419.36,535,10,18128.3,2175.39,560,10,12005.1,1440.61,585,10,12117.2,1454.06,610,10,29403.7,3528.44,645,10,10041.9,1205.02,680,10,25383.4,3046.01,705,10,8942.14,1073.06,730,10,21716.9,2606.03,760,10,19992.1,2399.05,810,10,23402.8,2808.33,860,10,22932,2751.84,900,10,5423.45,650.814,940,10,3606.17,432.74,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192952Z,19.4978,20,20,410,10,11495.5,1379.46,435,10,19306,2316.72,460,10,23413.3,2809.59,485,10,22025.2,2643.03,510,10,20297.5,2435.7,535,10,18408.4,2209.01,560,10,12599.5,1511.94,585,10,12607.1,1512.85,610,10,30350.6,3642.07,645,10,10272.8,1232.74,680,10,26468.1,3176.17,705,10,9198.19,1103.78,730,10,22098.3,2651.79,760,10,20318.6,2438.23,810,10,23881.5,2865.78,860,10,23484.2,2818.1,900,10,5565.7,667.884,940,10,3707.64,444.917,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192953Z,19.498,20,20,410,10,11367,1364.04,435,10,19118.4,2294.21,460,10,23141.2,2776.95,485,10,21663.5,2599.62,510,10,20013.6,2401.63,535,10,18184,2182.08,560,10,12399.6,1487.95,585,10,12410.4,1489.24,610,10,29996.2,3599.54,645,10,10137.4,1216.48,680,10,26273,3152.76,705,10,9059.3,1087.12,730,10,21903.7,2628.44,760,10,20124,2414.88,810,10,23655,2838.6,860,10,23135.2,2776.23,900,10,5476.79,657.215,940,10,3658.23,438.987,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192955Z,19.4986,20,20,410,10,11349.1,1361.9,435,10,19070.3,2288.44,460,10,23044.7,2765.36,485,10,21535.3,2584.23,510,10,19935.6,2392.27,535,10,18111.4,2173.37,560,10,12289.4,1474.73,585,10,12289.5,1474.73,610,10,29645.2,3557.43,645,10,10069.6,1208.35,680,10,26010.9,3121.3,705,10,8986.97,1078.44,730,10,21725.5,2607.07,760,10,19945.9,2393.51,810,10,23386.7,2806.4,860,10,22943.7,2753.25,900,10,5445.12,653.414,940,10,3624.7,434.964,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192957Z,19.4992,20,20,410,10,11313.4,1357.61,435,10,18991.4,2278.97,460,10,22938.8,2752.66,485,10,21459.7,2575.17,510,10,19885.6,2386.27,535,10,18081.6,2169.79,560,10,12265.8,1471.89,585,10,12252,1470.24,610,10,29450.4,3534.04,645,10,10021.5,1202.58,680,10,25881.9,3105.82,705,10,8958.11,1074.97,730,10,21616.5,2593.98,760,10,19879.1,2385.49,810,10,23309.3,2797.11,860,10,22900.2,2748.03,900,10,5430.12,651.614,940,10,3611.46,433.375,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T192958Z,19.4994,20,20,410,10,11299.8,1355.97,435,10,18973.1,2276.78,460,10,22921.2,2750.54,485,10,21442.7,2573.13,510,10,19858.3,2382.99,535,10,18027.8,2163.33,560,10,12247.4,1469.69,585,10,12238.9,1468.67,610,10,29425.3,3531.04,645,10,10016.3,1201.96,680,10,25861.2,3103.35,705,10,8947.58,1073.71,730,10,21601.6,2592.19,760,10,19859.3,2383.12,810,10,23309.3,2797.11,860,10,22876.7,2745.21,900,10,5428.45,651.414,940,10,3608.82,433.058,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T193000Z,19.5,20,20,410,10,11269.1,1352.3,435,10,18973.1,2276.78,460,10,22943.5,2753.21,485,10,21362.9,2563.55,510,10,19844.6,2381.35,535,10,17983,2157.96,560,10,12206.7,1464.81,585,10,12198.9,1463.87,610,10,29341,3520.92,645,10,9989.68,1198.76,680,10,25790,3094.8,705,10,8921.09,1070.53,730,10,21563.9,2587.67,760,10,19827.2,2379.26,810,10,23238.4,2788.6,860,10,22812.1,2737.46,900,10,5416.22,649.947,940,10,3601.76,432.211,4.16,98
STELLA-Q2, 2.4.0,6858,White Card Full Sun,1, Friday, 20240209T193001Z,19.5003,20,20,410,10,11284.5,1354.13,435,10,18962.5,2275.5,460,10,22943.5,2753.21,485,10,21410.5,2569.26,510,10,19828.8,2379.46,535,10,17997.3,2159.67,560,10,12226.9,1467.22,585,10,12227.1,1467.25,610,10,29396.8,3527.62,645,10,10020.4,1202.45,680,10,25885,3106.2,705,10,8943.84,1073.26,730,10,21596.9,2591.62,760,10,19865.1,2383.81,810,10,23310.1,2797.21,860,10,22847.4,2741.68,900,10,5429,651.48,940,10,3612.35,433.481,4.16,98
